Class,ISBN,Title,Author,Year Pub,Req-Rec,Documents,AVA/AVD/AVE,URL,Link   
 BIOL 15B 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 15B 1,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 15B 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 15B 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 15B 2,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 15B 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 15B 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
 BIOL 15B 3,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 15B 4,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 15B 4,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (6 MTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319392833,Link
 BIOL 15B 5,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (TWENTY-FOUR MONTHS ACCESS),MORRIS,N/A,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319284367,Link
 BIOL 15B 5,9.78132E+12,ACHIEVE FOR BIOLOGY: HOW LIFE WORKS (12 MTHS ACCESS),MORRIS,2019,CHC,0,N/A,https://na01.alma.exlibrisgroup.com/view/sru/01BRAND_INST?version=1.2&operation=searchRetrieve&recordSchema=marcxml&query=alma.isbn=9781319376826,Link
