Documents,ISBN,Title,Author,Year Pub,Req-Rec   
0,9780262534796,CHINESE ECONOMY,NAUGHTON,2017,REQ,
1,9780140092332,SWEETNESS & POWER,MINTZ,1985,REQ,
2,9780230364585,THEATRE AND HUMAN RIGHTS,RAE,N/A,REQ,
0,9780133839395,MACROECONOMICS (SUBSCRIPTION),BLANCHARD,N/A,REQ,
2,9781476709130,REDEFINING REALNESS,MOCK,2015,REQ,
1,9780691152868,MACROECONOMIC THEORY,WICKENS,2012,REQ,
1,9781464187025,MICROECONOMICS,GOOLSBEE,2016,REQ,
1,9780226461007,TRAVESTI,KULICK,1998,REQ,
0,9780520299931,HISTORY OF THE WORLD IN SEVEN CHEAP THINGS,PATEL,2018,REQ,
1,9780133780581,MACROECONOMICS (W/OUT MYECONLAB WITH PH ETEXT ACCESS),BLANCHARD,2017,REQ,
0,9781259354311,MANAGERIAL ECONOMICS & BUSINESS STRATEGY,BAYE,N/A,REQ,
0,9781260484052,INTERNATIONAL ECONOMICS,PUGEL,N/A,REQ,
1,9781429234146,LEHNINGER PRIN OF BIOCHEMISTRY (W/OUT ACCESS CODE),NELSON,2013,REQ,
1,9780133780581,MACROECONOMICS (W/OUT MYECONLAB WITH PH ETEXT ACCESS),BLANCHARD,2017,REQ,
0,9780393903799,ECONOMICS OF DEVELOPMENT (SEVENTH EDITION),BLOCK,N/A,REQ,
0,9781259357480,INVESTMENTS,BODIE,N/A,CHC,
1,9781524948771,NOT FOR ESOL TEACHERS,ARIZA,2018,REQ,
1,9781259277177,INVESTMENTS,BODIE,2018,CHC,
1,9781449323899,PROGRAMMING ROBOTS WITH ROS,QUIGLEY,N/A,REQ,
1,9781118476031,INDUSTRIAL ORGANIZATION,NORMAN,N/A,REQ,
1,9780822342328,WORLD OF LUCHA LIBRE,LEVI,2008,REQ,
1,9780691043081,GAME THEORY FOR APPLIED ECONOMICS,GIBBONS,N/A,REQ,
1,9780393934359,ECONOMICS OF DEVELOPMENT,PERKINS,2013,REQ,
0,9780393918380,STRATEGY,WATSON,2013,REQ,
0,9780134130262,CONSUMER BEHAVIOR,SOLOMON,N/A,REQ,
1,9781570270598,CALIBAN & THE WITCH,FEDERICI,2004,REQ,
1,9780471615187,INTRODUCTORY STATISTICS,WONNACOTT,1990,CHC,
0,9781446289150,DISCOVERING STATISTICS USING R,FIELD,N/A,REQ,
2,9780230364585,THEATRE AND HUMAN RIGHTS,RAE,N/A,REQ,
